country,country_name,month_start_utc,month_end_utc,all_articles,ai_articles_strict,ai_proportion_strict,ai_tone_strict,ai_articles_balanced,ai_proportion_balanced,ai_tone_balanced,domains
AT,Austria,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,15798,101,0.006393214330927966,-1.4587497734682546,103,0.006519812634510697,-1.4988198123698027,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,14741,162,0.010989756461569772,-1.8132402956545393,164,0.011125432467268164,-1.8749960688221123,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,13940,74,0.005308464849354376,-0.6118027899401838,76,0.0054519368723099,-0.6144675773908296,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,12829,101,0.007872788214202198,-0.9572624218545701,106,0.008262530205004287,-1.0983616404614414,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,12714,99,0.00778669183577159,-0.918754536983531,106,0.008337266005977662,-1.1764286901619343,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,12986,106,0.008162636685661482,-1.0918655739965295,114,0.008778684737409517,-0.9677490580012598,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,11151,77,0.006905210295040804,-2.0155871880541203,79,0.007084566406600305,-1.9194138646056786,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,13073,81,0.00619597643999082,-1.5724719064455321,91,0.006960911802952651,-1.5043866660208243,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,12161,60,0.004933804785790643,-0.29272249033742703,60,0.004933804785790643,-0.29272249033742703,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,12529,65,0.005187963923697023,-0.6498222347144426,66,0.0052677787532923615,-0.8042699810668892,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,11938,74,0.006198693248450327,-1.197198207857653,74,0.006198693248450327,-1.197198207857653,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,13166,106,0.008051040559015647,-0.03978592118577326,113,0.008582713048761962,-0.022626804099533784,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,12146,79,0.00650419891322246,-0.8957161160226367,82,0.006751193808661288,-1.1033774882953735,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,13100,92,0.007022900763358778,-0.7205270762858127,98,0.007480916030534351,-0.9033143835312264,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,10495,47,0.004478323010957599,-0.8955568427088346,50,0.004764173415912339,-0.9268693765314151,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
AT,Austria,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,11577,74,0.006391984106417898,-1.0650186432828121,77,0.006651118597218623,-1.06327841732789,"orf.at,derstandard.at,krone.at,kurier.at,diepresse.com"
