country,country_name,month_start_utc,month_end_utc,all_articles,ai_articles_strict,ai_proportion_strict,ai_tone_strict,ai_articles_balanced,ai_proportion_balanced,ai_tone_balanced,domains
FR,France,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,17368,224,0.012897282358360202,-1.1160674195723412,228,0.01312759097190235,-1.0966380085549048,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,13620,277,0.020337738619676946,-1.384591193064112,284,0.020851688693098384,-1.4384337019492803,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,11724,121,0.01032070965540771,-1.4471267548563318,135,0.01151484135107472,-1.4339512553973741,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,12652,181,0.01430603857097692,-1.2168799863676445,185,0.014622194119506797,-1.2050272640801714,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,14316,184,0.012852752165409332,-1.0613674738069512,195,0.013621123218776194,-1.097557738355682,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,12022,186,0.015471635335218765,-1.7147713532946138,193,0.016053901181167857,-1.6644386563867706,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,9695,137,0.014130995358432182,-1.065791482930685,139,0.014337287261474986,-1.1557892807642596,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,10474,113,0.01078861943860989,-1.8537074038273424,116,0.011075042963528738,-1.840043742453637,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,9808,118,0.01203099510603589,-1.1340542782055565,120,0.012234910277324634,-1.1429438463299793,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,9999,159,0.0159015901590159,-1.9489348370207111,162,0.016201620162016202,-1.9427545119084697,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
