country,country_name,month_start_utc,month_end_utc,all_articles,ai_articles_strict,ai_proportion_strict,ai_tone_strict,ai_articles_balanced,ai_proportion_balanced,ai_tone_balanced,domains
FR,France,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,17368,224,0.012897282358360202,-1.1160674195723408,236,0.013588208198986642,-1.1995123077798575,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,13620,277,0.020337738619676946,-1.3845911930641115,287,0.021071953010279,-1.4553765392162923,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,11724,121,0.01032070965540771,-1.4471267548563318,138,0.011770726714431934,-1.4391636888048966,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,12652,181,0.01430603857097692,-1.2168799863676447,191,0.015096427442301613,-1.2558232864051495,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,14316,184,0.012852752165409332,-1.0613674738069514,208,0.014529198100027941,-1.1474970157173674,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,12022,186,0.015471635335218765,-1.7147713532946134,209,0.017384794543337214,-1.6088870909503445,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,9695,137,0.014130995358432182,-1.065791482930685,145,0.014956162970603403,-1.2055678071964113,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,10474,113,0.01078861943860989,-1.8537074038273422,121,0.011552415505060148,-1.788882962425664,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,9808,118,0.01203099510603589,-1.134054278205556,130,0.013254486133768352,-1.085046425221994,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,9999,159,0.0159015901590159,-1.9489348370207118,167,0.0167016701670167,-1.9122418182413323,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,9521,134,0.014074151874803067,-1.4388990474578547,144,0.01512446171620628,-1.3845662943540622,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,10170,131,0.01288102261553589,-0.9238366548042185,143,0.014060963618485743,-0.8195950612918242,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
FR,France,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,9389,122,0.012993929065928214,-1.2864217609953912,140,0.014911066141229098,-1.5503882983377528,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr"
