country,country_name,month_start_utc,month_end_utc,all_articles,ai_articles_strict,ai_proportion_strict,ai_tone_strict,ai_articles_balanced,ai_proportion_balanced,ai_tone_balanced,domains
FR,France,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,22673,314,0.01384907158294006,-0.9590651973693678,330,0.014554756759140829,-1.0103759420498797,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,18016,358,0.019871225577264652,-1.3749632028119247,373,0.020703818827708702,-1.4347448652279682,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,14876,175,0.01176391503092229,-1.2112703338025876,194,0.013041140091422425,-1.21486094719593,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,16734,263,0.015716505318513208,-1.047967509262184,277,0.016553125373491098,-1.1188957922458083,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,18993,261,0.013741904912336124,-1.0115492118516989,290,0.015268783235929026,-1.0929599830041157,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,16289,247,0.015163607342378291,-1.678295846784629,275,0.016882558782000123,-1.5720417969228668,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,13172,192,0.014576374126935925,-1.1926598522736118,203,0.015411478894624962,-1.331249972878683,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,14548,166,0.01141050316194666,-1.7561443101547929,178,0.012235358812207863,-1.7059028376544554,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,13616,153,0.011236780258519388,-1.04043609010076,166,0.01219153936545241,-0.9977753098937884,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
FR,France,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,13777,203,0.014734702765478697,-1.8137306815627003,216,0.015678304420410828,-1.7838684527729616,"lemonde.fr,lefigaro.fr,franceinfo.fr,liberation.fr,ouest-france.fr,lesechos.fr,numerama.com,lequotidiendumedecin.fr,actu-environnement.com,dalloz-actualite.fr"
