country,country_name,month_start_utc,month_end_utc,all_articles,ai_articles_strict,ai_proportion_strict,ai_tone_strict,ai_articles_balanced,ai_proportion_balanced,ai_tone_balanced,domains
PL,Poland,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,13514,739,0.054684031374870504,-3.7947581433461113,743,0.054980020719254105,-3.784258552297787,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,12150,580,0.047736625514403296,-4.3760183140749875,583,0.0479835390946502,-4.3627478714615195,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,10681,490,0.045875854320756485,-4.517129291097248,490,0.045875854320756485,-4.517129291097248,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,9062,411,0.04535422644007945,-4.844353638563228,412,0.045464577355992054,-4.835592022695924,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,9955,306,0.030738322451029632,-4.492468617203484,306,0.030738322451029632,-4.492468617203484,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,8289,249,0.030039811798769453,-3.2600672569186617,249,0.030039811798769453,-3.2600672569186617,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,8676,201,0.023167358229598894,-3.7076077789927475,203,0.023397879207007838,-3.735971228365186,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,9643,181,0.018770092294928965,-4.373547304425239,183,0.018977496629679562,-4.329033970620137,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,8686,180,0.02072300253281142,-4.380867564180772,181,0.02083813032466037,-4.364129905546355,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,9477,225,0.023741690408357077,-3.792666122208223,228,0.0240582462804685,-3.768619244867862,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,9128,217,0.023773006134969327,-4.08769378347584,219,0.02399211218229623,-4.052876641463982,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,9154,176,0.019226567620712256,-3.3133344606427775,177,0.019335809482193576,-3.2895706662727218,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,8040,179,0.0222636815920398,-3.9650035448824474,180,0.022388059701492536,-3.953591458663532,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,8361,187,0.02236574572419567,-3.846214071136372,189,0.022604951560818085,-3.8090644033973486,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,6712,144,0.021454112038140644,-3.9896285980251434,144,0.021454112038140644,-3.9896285980251434,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,8208,156,0.019005847953216373,-4.577943757282827,158,0.0192495126705653,-4.540074912751952,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,8886,150,0.01688048615800135,-3.6817262632997885,150,0.01688048615800135,-3.6817262632997885,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,6625,159,0.024,-4.245340542483966,160,0.024150943396226414,-4.232513304444316,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,6657,138,0.020730058584948176,-4.203799183395256,138,0.020730058584948176,-4.203799183395256,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,8486,276,0.03252415743577657,-4.707150070883027,280,0.03299552203629508,-4.695327513991486,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,7783,307,0.03944494410895542,-4.282948347515896,307,0.03944494410895542,-4.282948347515896,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,9483,232,0.024464831804281346,-4.221536291458182,234,0.024675735526732048,-4.203234353156113,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,9425,311,0.032997347480106104,-4.190058214688819,312,0.03310344827586207,-4.19407766295744,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,9278,341,0.036753610691959475,-4.710419594393011,341,0.036753610691959475,-4.710419594393011,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,9004,308,0.034207019102621056,-4.716833272426042,311,0.03454020435362061,-4.719859327007164,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,8553,350,0.0409213141587747,-4.475082602997452,351,0.04103823219922834,-4.47265555400258,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,8218,306,0.037235337064979314,-4.065955549415899,308,0.03747870528109029,-4.052008533866492,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,8174,284,0.03474431123073159,-4.6271731311428805,293,0.035845363347198435,-4.570910270644642,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,6895,254,0.03683828861493836,-5.215376800541647,259,0.03756345177664975,-5.153738352633744,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z,6379,290,0.04546167110832419,-4.5477596094734745,296,0.046402257407117106,-4.486921698994259,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z,9415,350,0.03717472118959108,-4.10357890844454,354,0.03759957514604355,-4.115468696521466,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-01-01T00:00:00Z,2021-02-01T00:00:00Z,9964,343,0.0344239261340827,-4.519533517544552,349,0.03502609393817744,-4.4303894394685726,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-02-01T00:00:00Z,2021-03-01T00:00:00Z,9931,401,0.04037861242573759,-4.57671242984531,401,0.04037861242573759,-4.57671242984531,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-03-01T00:00:00Z,2021-04-01T00:00:00Z,11646,381,0.032715095311695,-4.5435002654661245,384,0.03297269448737764,-4.527407280766083,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,10302,382,0.0370801786060959,-4.730291627070629,386,0.0374684527276257,-4.6815103481129094,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,9810,438,0.044648318042813454,-4.321316168060752,443,0.04515800203873598,-4.320061068721978,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-06-01T00:00:00Z,2021-07-01T00:00:00Z,9736,468,0.04806902218570255,-3.94970184056183,474,0.04868529170090386,-3.9048097391585697,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-07-01T00:00:00Z,2021-08-01T00:00:00Z,9578,497,0.05188974733764878,-4.570765386832632,500,0.05220296512841929,-4.538173430677061,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-08-01T00:00:00Z,2021-09-01T00:00:00Z,8799,484,0.05500625071030799,-4.796243389699506,488,0.05546084782361632,-4.772750517630006,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-09-01T00:00:00Z,2021-10-01T00:00:00Z,8120,488,0.060098522167487685,-4.801476778507656,492,0.06059113300492611,-4.772026405996334,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-10-01T00:00:00Z,2021-11-01T00:00:00Z,10053,543,0.05401372724559833,-4.434144245289657,552,0.05490898239331543,-4.396412019354253,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-11-01T00:00:00Z,2021-12-01T00:00:00Z,10118,539,0.05327139750938921,-4.761463250984199,558,0.05514923898003558,-4.634240701901385,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2021-12-01T00:00:00Z,2022-01-01T00:00:00Z,10351,417,0.04028596270891701,-4.903064530656894,427,0.041252052941744756,-4.8157733946171115,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
PL,Poland,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,10282,476,0.0462944952343902,-5.048057857332341,486,0.04726706866368411,-4.973981684094824,"tvn24.pl,onet.pl,gazeta.pl,rp.pl,wyborcza.pl"
