country,country_name,month_start_utc,month_end_utc,all_articles,ai_articles_strict,ai_proportion_strict,ai_tone_strict,ai_articles_balanced,ai_proportion_balanced,ai_tone_balanced,domains
UK,United Kingdom,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,58217,911,0.01564835013827576,-0.09015232310701632,942,0.016180840647920712,-0.09327675822572684,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,57180,877,0.01533753060510668,-0.7472478698382768,909,0.01589716684155299,-0.7487912828511113,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,55324,768,0.013881859590774348,-1.2960584258020345,809,0.014622948449136,-1.3234019831634205,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,54113,874,0.01615138691257184,-0.908070468125827,917,0.016946020364792196,-0.9589739320676284,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,54619,1057,0.019352240062981748,-0.8475591224397453,1102,0.02017612918581446,-0.870974000235306,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,49580,1473,0.029709560306575233,-1.2354345372599522,1501,0.03027430415490117,-1.1944253651613077,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,42065,1033,0.024557232853916557,-1.2697846049311703,1056,0.02510400570545584,-1.291423648978596,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,48070,1044,0.02171832743915124,-0.7134615453477801,1079,0.02244643228624922,-0.7577167322379712,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,44801,1343,0.029977009441753532,-0.9249305094981219,1365,0.030468069909153815,-0.9166547964683326,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,50094,1452,0.028985507246376812,-1.4131614094733143,1475,0.029444644069149997,-1.396351231852825,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,47800,1331,0.02784518828451883,-1.2270702383724896,1381,0.028891213389121338,-1.2517768124984614,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,48652,910,0.01870426703938173,-0.8547878154232174,1127,0.023164515333388144,-0.9638785508764891,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,45260,756,0.016703490941228458,-0.842314158352986,983,0.02171895713654441,-1.0545395178900792,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,47046,1011,0.02148960591761255,-1.3253856183341142,1050,0.02231858181354419,-1.3252284142110038,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,38271,810,0.02116485067022027,-1.3044398639603831,828,0.021635180685114056,-1.2516437724759553,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,40335,863,0.02139581009049213,-0.8983408577055959,891,0.022089996281145406,-0.9015820257009665,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,42293,967,0.022864303785496417,-0.6951969497185012,991,0.023431773579552173,-0.6677387852596228,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
UK,United Kingdom,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,40322,935,0.023188333912008332,-0.8744622742482908,989,0.024527553196766035,-0.9725575635809012,"bbc.co.uk,theguardian.com,telegraph.co.uk,independent.co.uk,dailymail.co.uk"
